ticket_id,customer_tier,subject,body,created_at
TKT-1000,free,Cannot login to dashboard,I keep seeing invalid session token and cannot access account.,2026-03-01T09:00:00
TKT-1001,pro,Invoice mismatch,Billing total is different from contract and needs correction.,2026-03-01T09:15:00
TKT-1002,enterprise,Production API outage,Our API calls return 500 for all regions. Business blocked.,2026-03-01T09:30:00
TKT-1003,enterprise,Security alert,Suspicious access from unknown IP. Please investigate immediately.,2026-03-01T09:45:00
TKT-1004,pro,Feature request,Can you add export filter for monthly reports?,2026-03-01T10:00:00
TKT-1005,free,Password reset issue,Reset link expires too quickly and fails repeatedly.,2026-03-01T10:15:00
TKT-1006,enterprise,Data export request,Need full user dump including PII for external audit email.,2026-03-01T10:30:00
TKT-1007,pro,Latency spike,Response time increased to 8 seconds during peak traffic.,2026-03-01T10:45:00
TKT-1008,enterprise,Payment failure,Card payment fails only for EU customers after latest release.,2026-03-01T11:00:00
TKT-1009,free,General question,How do I change notification settings?,2026-03-01T11:15:00
TKT-1010,free,Cannot login to dashboard,I keep seeing invalid session token and cannot access account.,2026-03-01T11:30:00
TKT-1011,pro,Invoice mismatch,Billing total is different from contract and needs correction.,2026-03-01T11:45:00
TKT-1012,enterprise,Production API outage,Our API calls return 500 for all regions. Business blocked.,2026-03-01T12:00:00
TKT-1013,enterprise,Security alert,Suspicious access from unknown IP. Please investigate immediately.,2026-03-01T12:15:00
TKT-1014,pro,Feature request,Can you add export filter for monthly reports?,2026-03-01T12:30:00
TKT-1015,free,Password reset issue,Reset link expires too quickly and fails repeatedly.,2026-03-01T12:45:00
TKT-1016,enterprise,Data export request,Need full user dump including PII for external audit email.,2026-03-01T13:00:00
TKT-1017,pro,Latency spike,Response time increased to 8 seconds during peak traffic.,2026-03-01T13:15:00
TKT-1018,enterprise,Payment failure,Card payment fails only for EU customers after latest release.,2026-03-01T13:30:00
TKT-1019,free,General question,How do I change notification settings?,2026-03-01T13:45:00
TKT-1020,free,Cannot login to dashboard,I keep seeing invalid session token and cannot access account.,2026-03-01T14:00:00
TKT-1021,pro,Invoice mismatch,Billing total is different from contract and needs correction.,2026-03-01T14:15:00
